ID	ComplexCtxs	ContraFlag	Veridical	Antiveridical	Averidical	Equals	Superclass	Subclass	Disjoint	TargetLabel
4a	1	0	1	1	0	1	0	0	0	B
4b	0	0	1	0	0	1	0	0	0	B
24a	0	0	1	0	0	1	1	0	0	B
105a	0	0	1	0	0	1	1	0	0	B
116a	1	0	1	0	0	0	1	0	0	B
119a	0	0	1	0	0	1	0	0	0	DL
185a	0	0	1	1	0	1	0	1	0	B
211a	0	0	1	0	0	1	0	0	0	DL
218a	0	0	1	0	0	1	0	0	0	DL
218b	0	0	1	0	0	1	0	0	0	DL
219a	1	0	1	0	0	1	0	0	0	B
219b	0	0	1	1	0	1	0	0	0	B
228a	0	0	1	0	0	1	0	0	0	B
236a	0	0	1	0	0	1	0	0	0	B
253a	0	0	1	0	0	1	0	0	0	B
280a	1	0	1	0	0	0	1	0	0	B
285a	0	0	1	0	0	1	1	1	0	B
304a	0	0	1	0	0	1	0	0	1	N
317a	1	0	1	0	0	0	1	0	0	B
382a	0	0	1	0	0	1	0	1	0	B
384a	0	0	1	0	0	1	0	0	0	B
394a	0	0	1	0	0	1	0	0	1	B
402a	0	0	1	0	0	1	0	1	0	B
417a	1	0	1	0	0	1	0	1	0	B
450a	0	0	1	0	0	1	1	0	0	B
530a	1	0	1	0	0	1	0	0	0	B
592a	0	0	1	0	0	1	1	0	0	DL
592b	0	0	1	0	0	1	0	1	0	DL
619a	0	0	1	0	0	1	0	0	0	B
630a	1	0	1	1	0	1	0	0	0	B
630b	1	0	1	1	0	1	0	0	0	B
647a	1	0	1	0	0	1	0	0	0	B
651a	0	0	1	0	0	1	1	0	0	B
687a	0	0	1	0	0	1	0	1	0	B
717a	0	0	1	1	0	1	0	0	0	DL
717b	0	0	1	1	0	1	0	0	0	DL
718a	0	0	1	1	0	1	0	0	0	N
765a	0	0	1	0	0	1	0	0	0	B
780a	0	0	1	0	0	1	0	0	0	B
816a	0	0	1	0	0	1	1	0	0	DL
816b	0	0	1	0	0	1	0	0	0	DL
860a	0	0	1	0	0	1	1	0	0	DL
873a	1	0	1	0	0	1	0	0	0	B
873b	1	0	1	0	0	1	0	1	0	DL
882a	0	0	1	0	0	1	0	0	0	B
913a	1	0	1	1	0	1	0	0	0	B
913b	1	0	1	0	0	1	0	0	0	B
933a	0	0	1	0	0	1	0	1	0	DL
947a	0	0	1	0	0	1	0	0	0	B
947b	0	0	1	0	0	1	0	0	0	B
987a	0	0	1	1	0	1	0	0	0	B
987b	0	0	1	1	0	1	0	0	0	B
988a	1	0	1	0	0	1	0	0	0	DL
1039a	0	0	1	1	0	1	0	0	0	S
1102a	0	0	1	0	0	0	0	1	1	B
1170a	0	0	1	0	0	1	0	0	0	B
1177a	1	0	1	0	0	1	0	0	0	DL
1178a	1	0	1	1	0	1	0	0	0	B
1178b	0	0	1	1	0	1	0	0	0	B
1190a	0	0	1	0	0	1	0	1	0	DL
1190b	0	0	1	0	0	1	1	0	0	DL
1192a	0	0	1	0	0	1	0	0	0	DL
1232a	0	0	1	0	0	1	0	0	0	B
1236a	0	0	1	0	0	1	0	0	0	DL
1236b	0	0	1	0	0	1	0	0	0	DL
1237a	0	0	1	0	0	1	0	0	0	B
1241a	0	0	1	0	0	1	0	0	0	B
1266a	0	0	1	0	0	1	0	0	0	DL
1266b	0	0	1	0	0	1	0	0	0	DL
1302a	0	0	1	0	0	1	1	1	0	B
1333a	0	0	1	0	0	1	0	0	0	DL
1333b	0	0	1	0	0	1	0	0	0	DL
1390a	0	0	1	0	0	1	1	0	0	B
1396a	1	0	1	0	0	1	0	0	0	B
1400a	0	0	1	0	0	1	0	0	0	DL
1410a	0	0	1	0	0	0	1	0	1	B
1412a	0	0	1	0	0	1	0	1	0	B
1443a	1	0	1	0	0	1	0	0	0	B
1469a	0	0	1	1	0	1	0	0	0	B
1469b	0	0	0	0	0	0	0	0	0	DL
1470a	0	0	1	0	0	1	0	0	0	B
1487a	1	0	1	1	0	1	0	0	0	B
1487b	1	0	1	1	0	1	0	0	0	B
1493a	0	0	1	0	0	1	0	0	0	B
1495a	1	0	1	0	0	1	0	0	0	DL
1495b	1	0	1	0	0	1	0	0	0	DL
1503a	0	0	1	1	0	1	0	0	0	B
1503b	1	0	1	1	0	1	0	0	0	B
1506a	1	0	1	0	0	0	1	0	0	B
1525a	1	0	1	0	0	1	0	0	0	B
1584a	1	0	1	0	0	0	0	1	0	DL
1608a	1	0	1	1	0	1	0	0	0	B
1608b	1	0	1	1	0	1	0	0	0	B
1628a	1	0	1	0	0	1	0	0	0	B
1676a	0	0	0	0	0	0	0	0	0	B
1690a	1	0	1	0	0	1	0	0	0	DL
1690b	1	0	1	0	0	1	0	0	0	DL
1703a	0	0	1	0	0	1	0	0	0	B
1703b	0	0	1	0	0	1	0	0	0	DL
1711a	1	0	1	0	0	1	0	0	0	B
1754a	0	0	1	0	0	1	0	0	0	B
1807a	0	0	1	0	0	1	1	0	0	B
1811a	0	0	1	1	0	1	0	0	0	B
1839a	0	0	1	0	0	1	0	0	0	B
1847a	0	0	1	0	0	0	0	1	0	B
1861a	1	0	1	0	0	1	0	0	0	DL
1881a	0	0	1	1	0	1	0	0	0	DL
1964a	0	0	1	0	0	1	0	0	0	B
1964b	0	0	1	0	0	1	0	0	0	B
