pair_ID	GoldLabel	complexCtxs	contraCost	VER	ANTIVER	AVER	EQUALS	SUPER	SUB	DIS	GKR4NLILabel
4a	C	1	0	1	1	0	1	0	0	0	C
4b	C	0	0	1	0	0	1	0	0	0	C
24a	N	0	0	1	0	0	1	1	0	0	N
105a	N	0	0	1	0	0	1	1	0	0	N
116a	N	1	0	1	0	0	0	1	0	0	N
119a	N	0	0	1	0	0	1	0	0	0	E
185a	N	0	0	1	1	0	1	0	1	0	N
211a	E	0	0	1	0	0	1	0	0	0	N
218a	E	0	0	1	0	0	1	0	0	0	N
218b	E	0	0	1	0	0	1	0	0	0	N
219a	C	1	0	1	0	0	1	0	0	0	C
219b	C	0	0	1	1	0	1	0	0	0	C
228a	N	0	0	1	0	0	1	0	0	0	N
236a	N	0	0	1	0	0	1	0	0	0	N
253a	E	0	0	1	0	0	1	0	0	0	E
280a	N	1	0	1	0	0	0	1	0	0	N
285a	N	0	0	1	0	0	1	1	1	0	N
304a	N	0	0	1	0	0	1	0	0	1	C
317a	N	1	0	1	0	0	0	1	0	0	N
382a	N	0	0	1	0	0	1	0	1	0	N
384a	N	0	0	1	0	0	1	0	0	0	N
394a	N	0	0	1	0	0	1	0	0	1	N
402a	N	0	0	1	0	0	1	0	1	0	N
417a	N	1	0	1	0	0	1	0	1	0	N
450a	N	0	0	1	0	0	1	1	0	0	N
530a	N	1	0	1	0	0	1	0	0	0	N
592a	C	0	0	1	0	0	1	1	0	0	N
592b	C	0	0	1	0	0	1	0	1	0	E
619a	N	0	0	1	0	0	1	0	0	0	N
630a	C	1	0	1	1	0	1	0	0	0	C
630b	C	1	0	1	1	0	1	0	0	0	C
647a	N	1	0	1	0	0	1	0	0	0	N
651a	N	0	0	1	0	0	1	1	0	0	N
687a	N	0	0	1	0	0	1	0	1	0	N
717a	C	0	0	1	1	0	1	0	0	0	N
717b	C	0	0	1	1	0	1	0	0	0	N
718a	N	0	0	1	1	0	1	0	0	0	E
765a	N	0	0	1	0	0	1	0	0	0	N
780a	N	0	0	1	0	0	1	0	0	0	N
816a	E	0	0	1	0	0	1	1	0	0	N
816b	E	0	0	1	0	0	1	0	0	0	N
860a	E	0	0	1	0	0	1	1	0	0	N
873a	N	1	0	1	0	0	1	0	0	0	N
873b	C	1	0	1	0	0	1	0	1	0	E
882a	N	0	0	1	0	0	1	0	0	0	N
913a	C	1	0	1	1	0	1	0	0	0	C
913b	C	1	0	1	0	0	1	0	0	0	C
933a	N	0	0	1	0	0	1	0	1	0	E
947a	E	0	0	1	0	0	1	0	0	0	E
947b	E	0	0	1	0	0	1	0	0	0	E
987a	C	0	0	1	1	0	1	0	0	0	C
987b	C	0	0	1	1	0	1	0	0	0	C
