pair_ID	sentence_AB	E_judgment
4	The young boys are playing outdoors and the man is smiling nearby. [SEP] There is no boy playing outdoors and there is no man smiling.	1
24	A person in a black jacket is doing tricks on a motorbike. [SEP] A skilled person is riding a bicycle on one wheel.	2
105	Four children are doing backbends in the gym. [SEP] Four girls are doing backbends and playing outdoors.	2
116	A player is throwing the ball. [SEP] Two teams are competing in a football match.	2
119	Five children are standing in front of a wooden hut. [SEP] Five children are standing in a wooden hut.	2
185	Few people are eating at red tables in a restaurant without lights. [SEP] A large group of Asian people is eating at a restaurant.	2
197	Someone is on a black and white motorcycle and is standing on the seat. [SEP] A motorcycle is riding standing up on the seat of the vehicle.	2
211	Two dogs are playing by a tree. [SEP] Two dogs are playing by a plant.	0
218	A girl in white is dancing. [SEP] A girl is wearing white clothes and is dancing.	0
219	There is no girl in white dancing. [SEP] A girl in white is dancing.	1
225	The equipment in front of the blond dancing girl is sound. [SEP] A girl in white is dancing.	2
228	A girl in white is dancing. [SEP] The blond girl is dancing in front of the sound equipment.	2
236	The children of a family are playing and waiting. [SEP] An Asian man is dancing and three kids are looking.	2
253	A hiker is on top of the mountain and is doing a joyful dance. [SEP] A hiker is on top of the mountain and is dancing.	0
280	A boy is standing outside the water. [SEP] The boy is wading through the blue ocean.	2
285	A bald person is playing a guitar. [SEP] A person has blonde and flyaway hair and is playing a guitar.	2
304	An old, topless woman is covered in paint. [SEP] A young, topless woman is covered in paint.	2
317	A group of children in uniforms is standing at a gate and there is no one kissing the mother. [SEP] A crowd of people is near the water.	2
382	A brown and white dog is running through the tall grass. [SEP] A brown and white dog is moving through the wild grass.	2
384	A white and tan dog is running through the tall and green grass. [SEP] A white and tan dog is running through a field.	0
394	A man is sitting near a bike and is writing a note. [SEP] A man is standing near a bike and is writing on a piece paper.	2
402	A group of scouts are hiking through the grass. [SEP] A group of explorers are walking through the grass.	2
417	Two men are taking a break from a trip on a snowy road. [SEP] Two men with cars are on the side of a snowy road.	2
450	A lady is surfing and riding a wave. [SEP] A blond girl is looking at the waves.	2
520	The woman wearing silver pants, pink bellbottoms and a pink scarf is riding a bike. [SEP] Pink bellbottoms and a pink scarf aren't to be worn by women with silver pants or bike riding people.	2
526	The woman wearing silver pants, pink bellbottoms and a pink scarf is riding a bike. [SEP] A pedestrian woman is building pink bicycles for boa wearing riders.	2
530	A biker is wearing gear which is black. [SEP] A biker wearing black is breaking the gears.	2
592	A woman is taking off a cloak, which is very large, and revealing an extravagant dress. [SEP] A woman is putting on a cloak, which is very large, and concealing an extravagant dress.	1
619	A boy is climbing up a wall artificially built for climbing and is attached to a rope. [SEP] A little boy, who looks fearful, is on a climbing wall.	2
630	A man isn't tossing a kid into the swimming pool that is near the ocean. [SEP] The man is tossing a kid into the swimming pool that is near the ocean.	1
647	One man is climbing a cliff with a rope. [SEP] A person with pink climbing gear roped the rock.	2
651	A person is climbing a rock with a rope, which is pink. [SEP] One man is climbing a cliff with a rope.	2
687	One white dog is staring at the black street. [SEP] Two dogs of different breeds are looking at each other across a street.	2
698	A dog which is furry and black is in a back yard and is carrying a basket in its mouth. [SEP] A dog next to a tree, which is probably a pine, is biting a bucket.	2
717	A few men in a competition are running outside. [SEP] A few men in a competition are running indoors.	1
718	A few men in a competition are running outside. [SEP] A few men are running competitions outside.	2
765	The kid is happily sliding in the snow. [SEP] A boy on a hill covered in snow is wearing a red jacket and a black hat and is sliding on his knees.	2
780	A woman, who is old, is near a white dog. [SEP] A woman and a dog are sitting on a tree stump.	2
816	A group of people is equipped with protective gear. [SEP] A group of people is equipped with gear used for protection.	0
860	One white dog and one black one are running side by side on the grass. [SEP] A dog, which has a black coat, and a white dog are running on the grass.	0
873	Not a lot of people are in an ice skating park. [SEP] An ice skating rink placed outdoors is full of people.	2
882	The girl in the blue and white uniform is cheering. [SEP] The girl is cheering the man in the blue and white uniform.	2
913	A woman is being kissed by a man. [SEP] There is no woman being kissed by a man.	1
933	The girl in the red shirt is blowing a bubble. [SEP] The young girl is blowing a bubble that is huge.	2
947	Some corndogs are being eaten by two toddlers who are in a wagon, which is really small. [SEP] Two toddlers are eating corndogs in a wagon, which is really small.	0
980	A man is getting on a horse on a track laid in the wild. [SEP] A horse is tossing the cowboy wearing pants of blue and red color.	2
987	An adult is in the amphitheater and is talking to a boy. [SEP] There is no adult in the amphitheater talking to a boy.	1
988	A talk about an adult and a boy is given in the amphitheater. [SEP] An adult is in the amphitheater and is talking to a boy.	2
1039	The snowboarder isn't leaping over white snow. [SEP] A person who is practicing snowboarding jumps into the air.	2
1102	A woman is riding a horse. [SEP] A man is opening a small package that contains headphones.	2
1137	A fish is hunting for a turtle in the sea. [SEP] The turtle is following the fish.	2
1170	A potato is being sliced by a woman. [SEP] A woman is slicing a carrot.	2
1177	A woman is combing her hair. [SEP] A woman is arranging her hair.	2
1178	A woman is combing her hair. [SEP] There is no woman combing her hair.	1
1190	A man and a woman are hiking through a wooded area. [SEP] A man and a woman are walking together through the woods.	0
1192	A man and a woman are walking together through the woods. [SEP] A man and a woman are walking through a wooded area.	0
1232	A man is slicing a bun. [SEP] A man is slicing a tomato.	2
1236	A woman is dancing and singing alone. [SEP] A woman is dancing and singing with other women.	1
1237	Some women are dancing and singing. [SEP] A woman is dancing and singing in the rain.	2
1241	A woman is dancing and singing with other women. [SEP] A woman is dancing and singing in the rain.	2
1266	A band is playing on a stage. [SEP] A band is playing onstage.	0
1302	A man is playing flute. [SEP] A man is playing a game with a ball.	2
1333	The woman is measuring the other woman. [SEP] A woman is being measured by another woman.	0
1390	A person is standing near a motorcycle. [SEP] A person is chopping an onion.	2
1396	A man is screaming. [SEP] A man is scared.	2
1400	A sad man is crying. [SEP] A man is screaming.	2
1410	A woman is cutting shrimps. [SEP] A man is chopping butter into a small container.	2
1412	Men are sawing logs. [SEP] Men are cutting wood.	0
1443	A man is talking on the radio. [SEP] A man is spitting.	2
1469	Three young men are running, jumping and kicking near a vending machine. [SEP] There is no man running, jumping and kicking near a vending machine.	1
1470	Three men are jumping off a wall. [SEP] Three young men are furiously running, jumping and kicking near a vending machine.	2
1487	The man is not stirring the sauce for the chicken. [SEP] The man is stirring the sauce for the chicken.	1
1493	A man is playing an electric guitar. [SEP] A man is playing guitar.	0
1495	A man is playing a guitar. [SEP] A man is strumming a guitar.	0
1503	Three boys in karate costumes aren't fighting. [SEP] Three boys in karate costumes are fighting.	1
1506	Three men are practicing karate outdoors. [SEP] Three boys in karate costumes are fighting.	2
1525	A woman is planting some flowers. [SEP] A woman is cutting broccoli.	2
1584	A hole is being burrowed by the badger. [SEP] A badger is shrewdly digging the earth.	0
1608	A snake is being fed a mouse by a man. [SEP] No snake is being fed a mouse by a man.	1
1628	Some ingredients are being mixed in a bowl by a person. [SEP] Some ingredients are being separated in a bowl by a person.	2
1676	A boat is sailing peacefully over the water. [SEP] The guitar is being played by the man.	2
1690	The milk is being drunk by a cat. [SEP] The cat is drinking some milk.	0
1703	A man is emptying a container made of plastic completely. [SEP] A man is emptying a container made of plastic.	0
1711	A man is emptying a container made of plastic. [SEP] A man is carelessly holding a frog.	2
1754	A flute is being played in a lovely way by a girl. [SEP] A flute is being played by a girl.	0
1807	The adult is playing the guitar loudly. [SEP] A flute is being played by a man.	2
1811	A man is playing the guitar loudly. [SEP] A flute isn't being played by a man.	2
1839	The girl, who is little, is carefully combing her hair into a pony tail. [SEP] The girl, who is little, is combing her hair into a pony tail.	0
1847	One man is sitting on the chair. [SEP] The girl, who is little, is ruffling her hair.	2
1861	The microphone in front of the talking parrot is being muted. [SEP] The parrot is talking into the microphone.	2
1877	The kittens on the trays are being eaten as food for an advertisement. [SEP] The food on the trays is being eaten by the kittens.	2
1881	The food on the trays is being eaten by the kittens. [SEP] A few kittens are eating.	0
1964	One person is playing the guitar and singing. [SEP] A person is playing a guitar and singing.	0
2001	The horse is being ridden by a man. [SEP] A man is riding the horse.	0
2019	A man is dangerously throwing knives at a tree. [SEP] Some dangerous men with knives are throwing a bike against a tree.	2
2058	A lady is cutting up some meat precisely. [SEP] Some meat is being cut into pieces by a woman.	0
2089	The man is denying an interview. [SEP] The man is granting an interview.	1
2096	The man is granting an interview. [SEP] A man's white car is being driven away.	2
2130	A small boy is scolding a dog. [SEP] A small boy is playing with a dog.	2
2157	The picture of a camera set up is being taken by a man on the beach at the sunset. [SEP] A man is taking pictures of a lake.	2
2166	A woman is sewing with a machine. [SEP] A woman is using a machine made for sewing.	0
2221	Someone is falling off a horse. [SEP] The man is not knocked off of a horse.	2
2229	A woman is tapping her fingers on a table. [SEP] A woman is resting her fingers on a table.	2
2231	A woman is tapping her fingers. [SEP] A woman is resting her fingers on a table.	2
2284	The cat is playing passionately with a watermelon. [SEP] The cat is playing with a watermelon.	0
2286	The cat is playing passionately with a watermelon. [SEP] A cat is playing with a watermelon.	0
2362	A person is burning some cameras with a blow torch. [SEP] The tall person is setting fire to the cameras.	2
2364	Some cameras are being burned by a person with a blow torch. [SEP] The person is setting fire to the cameras.	0
2366	A person by some cameras is blowing on a burning torch. [SEP] The person is setting fire to the cameras.	2
2385	A person is cutting an onion into pieces. [SEP] A person is slicing a carrot into pieces.	2
2392	The man is not slicing the potato. [SEP] The man is slicing a potato.	1
2402	Someone is cutting a tomato. [SEP] The woman is holding a whole tomato.	2
2404	The lady is slicing a tomato. [SEP] There is no one cutting a tomato.	1
2405	The lady is slicing a tomato. [SEP] Someone is cutting a tomato.	0
2410	A man is preparing some dish. [SEP] An onion is being sliced with a knife by the woman.	2
2430	One man is running down the road. [SEP] A man is running.	0
2476	Some people are singing. [SEP] A group of people is singing.	0
2485	The man is playing a guitar. [SEP] A man is playing a trumpet.	2
2525	A few people are floating on a raft. [SEP] People are riding and paddling a raft.	2
2527	People are riding and paddling a raft. [SEP] Four people are floating on a raft.	2
2535	There is no cat eating corn on the cob. [SEP] A cat is eating some corn.	2
2544	The person is slicing a vegetable. [SEP] Nobody is slicing a tomato.	2
2557	Someone is strumming the guitar. [SEP] Someone is playing the guitar.	0
2566	Three women are dancing. [SEP] A few women are dancing.	0
2604	A bull dog is being brushed by the monkey. [SEP] The monkey is brushing a bull dog.	0
2606	The monkey is brushing a bull dog. [SEP] A bull dog is brushing the monkey.	2
2662	The lady isn't cracking an egg for the mixer. [SEP] The lady is slicing up the meat.	2
2668	A few ferrets are climbing out of the cage. [SEP] Ferrets are climbing down from a shelf.	2
2678	A man is hurriedly getting into a car in a garage. [SEP] A man is getting into a car.	0
2679	A man is parking a car in a garage. [SEP] A man is getting into a car.	2
2687	The person is slicing a clove of garlic into pieces. [SEP] The person is not slicing a clove of garlic into pieces.	1
2704	Noodles are being boiled in water by a woman. [SEP] A woman is boiling noodles in water.	0
2712	There is no karate practitioner kicking at another man who is wearing protective boxing gloves. [SEP] A karate practitioner is kicking at another man who is wearing protective boxing gloves.	1
2720	The man is kick boxing with a trainer. [SEP] There is no karate practitioner kicking at another man who is wearing protective boxing gloves.	2
2721	The man is kick boxing with a trainer. [SEP] A karate practitioner is kicking at another man who is wearing protective boxing gloves.	2
2722	A woman, who is seated, is singing a song and playing the guitar. [SEP] A seated woman is singing a song and playing the guitar.	0
2726	A woman on a rock is lying on a blanket and reading a book. [SEP] A woman is rocking over a blanket lying on someone reading a book.	2
2738	The woman is not playing an electric guitar. [SEP] A man is playing an acoustic guitar.	2
2766	A man and woman are talking. [SEP] A man and a woman are eating happily.	2
2772	A person is pouring oil for cooking into a pot. [SEP] A person is pouring cooking oil into a pot.	0
2791	A guinea pig, which is small, is gnawing and eating a piece of carrot on the floor. [SEP] A small guinea pig is gnawing and eating a piece of carrot on the floor.	0
2795	A small guinea pig is gnawing and eating a piece of carrot on the floor. [SEP] A guinea pig is devouring a carrot.	0
2812	A plane is landing. [SEP] An animated airplane is taking off.	2
2822	A woman is taking a mixture out of a bowl. [SEP] A woman is preparing an egg in a skillet.	2
2829	The lady is penciling on eyeshadow. [SEP] The woman is penciling on eyeshadow.	0
2842	A little girl is playing a grand piano on stage. [SEP] A girl is practicing the piano.	2
2886	A woman is playing a flute. [SEP] The woman is not playing the flute.	1
2898	The man is lifting barbells. [SEP] The man is lifting weights.	0
2911	A woman is putting on makeup. [SEP] There is no woman putting on makeup.	1
2932	The woman is cutting a carrot. [SEP] An onion is being sliced by a woman.	2
2936	Two men are fighting in a cattle pen. [SEP] Two men are outside a cattle pen.	2
2965	A big green ball is missing a potato. [SEP] A big green ball is knocking a potato.	2
2967	A large green ball is hitting a potato. [SEP] A large green colored ball is hitting a potato.	0
2968	A large green ball is missing a potato. [SEP] A large green ball is hitting a potato.	2
2972	A large green ball is hitting a potato. [SEP] A big green ball is missing a potato.	1
2996	A man is playing a guitar. [SEP] A man is laying down a guitar.	2
3002	A woman is playing an electric guitar. [SEP] A man is laying down a guitar.	2
